permno,caldt,ticker,prc,ret,me,analysts
91672,2020-12-31,MNOV,5.26,-0.114478,236.8315,1.0
91678,2020-01-31,TAST,4.54,-0.356028,231.76246,4.0
91678,2020-02-28,TAST,4.125,-0.09141,210.577125,4.0
91678,2020-03-31,TAST,1.82,-0.558788,93.68268,4.0
91678,2020-04-30,TAST,3.65,1.005494,190.31465,4.0
91678,2020-05-29,TAST,4.29,0.175342,226.18596,4.0
91678,2020-06-30,TAST,4.84,0.128205,249.19224,4.0
91678,2020-07-31,TAST,6.14,0.268595,316.12404,4.0
91678,2020-08-31,TAST,6.66,0.084691,351.14184,2.0
91678,2020-09-30,TAST,6.45,-0.031532,328.4598,3.0
91678,2020-10-30,TAST,5.85,-0.093023,297.9054,4.0
91678,2020-11-30,TAST,6.8,0.162393,354.2256,4.0
91678,2020-12-31,TAST,6.28,-0.076471,310.16292,4.0
91683,2020-01-31,SBH,15.35,-0.158904,1785.6040999999998,9.0
91683,2020-02-28,SBH,12.44,-0.189577,1452.81784,9.0
91683,2020-03-31,SBH,8.08,-0.350482,943.63088,9.0
91683,2020-04-30,SBH,9.71,0.201733,1133.99206,9.0
91683,2020-05-29,SBH,13.04,0.342945,1471.83784,8.0
91683,2020-06-30,SBH,12.53,-0.03911,1414.27363,8.0
91683,2020-07-31,SBH,11.61,-0.073424,1310.21172,8.0
91683,2020-08-31,SBH,11.16,-0.03876,1259.42832,8.0
91683,2020-09-30,SBH,8.69,-0.221326,980.6838799999999,8.0
91683,2020-10-30,SBH,8.37,-0.036824,944.5712399999999,8.0
91683,2020-11-30,SBH,11.5,0.373955,1297.4185,8.0
91683,2020-12-31,SBH,13.04,0.133913,1471.0945599999998,8.0
91688,2020-01-31,EIG,42.65,0.021557,1356.90975,5.0
91688,2020-02-28,EIG,38.54,-0.096366,1212.39132,5.0
91688,2020-03-31,EIG,40.51,0.057602,1274.3635799999997,4.0
91688,2020-04-30,EIG,30.37,-0.250309,922.45838,4.0
91688,2020-05-29,EIG,29.89,-0.007573,907.87886,4.0
91688,2020-06-30,EIG,30.15,0.008699,915.7760999999999,4.0
91688,2020-07-31,EIG,32.52,0.078607,951.89292,4.0
91688,2020-08-31,EIG,32.58,0.009533,953.6491799999999,3.0
91688,2020-09-30,EIG,30.25,-0.071516,885.44775,4.0
91688,2020-10-30,EIG,32.01,0.058182,928.9622099999999,4.0
91688,2020-11-30,EIG,30.51,-0.03905,885.4307100000001,4.0
91688,2020-12-31,EIG,32.19,0.055064,934.18599,4.0
91727,2020-01-31,TA,16.84,-0.018076,139.88988,1.0
